NM_DOCENTE,GENERO
RODNEI ANTÔNIO DO NASCIMENTO,Male
RITA DE CÁSSIA SOUZA PAIVA,Female
PLÍNIO JUNQUEIRA SMITH,NA
OLGÁRIA CHAIN FÉRES MATOS,NA
SONIA CAMPANER MIGUEL FERRARI,Female
SILVIA SAVIANO SAMPAIO,Female
MÁRCIO ALVES DA FONSECA,NA
LUCIANO NERVO CODATO,Male
DULCE MARA CRITELLI,Female
JEANNE MARIE GAGNEBIN DE BONS,Female
ANTONIO TRAJANO MENEZES ARRUDA,Male
MARIA CONSTANÇA PERES PISSARRA,Female
YOLANDA GLÓRIA GAMBOA MUÑOZ,Female
LUCIO LOURENÇO PRADO,Male
PEDRO GERALDO APARECIDO NOVELLI,Male
CLELIA APARECIDA MARTINS,Female
RICARDO PEREIRA TASSINARI,Male
RICARDO MONTEAGUDO,Male
UBIRAJARA RANCAN DE AZEVEDO MARQUES,Male
JÉZIO HERNANI BOMFIM GUTIERRE,NA
JONAS GONÇALVES COELHO,Male
HÉRCULES DE ARAÚJO FEITOSA,NA
ALFREDO PEREIRA JUNIOR,Male
MARIANA CLAUDIA BROENS,Female
MARIA EUNICE QUILICI GONZALES,Female
ADRIAN OSCAR DONGO MONTOYA,Male
PEDRO PAULO DA COSTA COROA,Male
LEONEL RIBEIRO DOS SANTOS,Male
FREDERICK ADAMS,Male
ANA MARIA PORTICH,Female
MATTEO RASCHIETTI,Male
DANIEL GERARDO CAMPOS,Male
NURIA SANCHEZ MADRID,Female
THANA MARA DE SOUZA,Female
LAURO FREDERICO BARBOSA DA SILVEIRA,Male
CARMEN BEATRIZ MILIDONI,Female
WILLEM FERDINAND GERARDUS HASELAGER,Male
ANDREY IVANOV,Male
REINALDO SAMPAIO PEREIRA,Male
MÁRCIO BENCHIMOL BARROS,NA
MARCELO ESTEBAN CONIGLIO,Male
ITALA MARIA LOFFREDO D OTTAVIANO,Female
WALTER ALEXANDRE CARNIELLI,Male
JOSÉ OSCAR DE ALMEIDA MARQUES,NA
ENEIAS JUNIOR FORLIN,Male
ROBERTO ROMANO DA SILVA,Male
OSWALDO GIACOIA JUNIOR,Male
OSMYR FARIA GABBI JUNIOR,NA
MARCOS SEVERINO NOBRE,Male
MARCOS LUTZ MÜLLER,Male
JOSE CARLOS PINTO DE OLIVEIRA,Male
FATIMA REGINA RODRIGUES EVORA,Female
ARLEY RAMOS MORENO,Male
ALCIDES HECTOR RODRIGUEZ BENOIT,Male
LUIZ BENEDICTO LACERDA ORLANDI,Male
YARA ADARIO FRATESCHI,Female
LUCAS ANGIONI,Male
SILVIO SENO CHIBENI,Male
JAIRO JOSÉ DA SILVA,Male
LUIZ ROBERTO MONZANI,Male
FAUSTO CASTILHO,Male
JOÃO CARLOS KFOURI QUARTIM DE MORAES,NA
MÁRCIO AUGUSTO DAMIN CUSTÓDIO,NA
LUIZ HENRIQUE LOPES DOS SANTOS,Male
LÉON KOSSOVITCH,NA
MOACYR AYRES NOVAES FILHO,Male
CELSO FERNANDO FAVARETTO,Male
SÉRGIO CARDOSO,NA
ROBERTO BOLZANI FILHO,Male
RICARDO RIBEIRO TERRA,Male
PABLO RUBÉN MARICONDA,Male
MILTON MEIRA DO NASCIMENTO,Male
MARIA LÚCIA MELLO E OLIVEIRA CACCIOLA,Female
MARCO ANTONIO DE AVILA ZINGANO,Male
MAURÍCIO DE CARVALHO RAMOS,NA
LUÍS CÉSAR GUIMARÃES OLIVA,NA
MARCO AURÉLIO WERLE,Male
VICTOR KNOLL,Male
MÁRIO MIRANDA FILHO,NA
MÁRCIO SUZUKI,NA
LUIZ FERNANDO BATISTA FRANKLIN DE MATOS,Male
JOÃO VERGÍLIO GALLERANI CUTER,NA
JOSÉ CARLOS ESTEVÃO,NA
SCARLETT ZERBETTO MARTON,Female
ROLF NELSON KUNTZ,Male
RENATO JANINE RIBEIRO,Male
PAULO EDUARDO ARANTES,Male
CARLOS EDUARDO SILVEIRA MATOS,Male
MARILENA DE SOUZA CHAUI,Female
LYGIA ARAUJO WATANABE,Female
RUY FAUSTO,Male
JOSÉ ARTHUR GIANNOTTI,NA
OTÍLIA BEATRIZ FIORI ARANTES,NA
JOSE RAYMUNDO NOVAES CHIAPPIN,Male
CARLOS ALBERTO RIBEIRO DE MOURA,Male
CAETANO ERNESTO PLASTINO,Male
MARIA DAS GRAÇAS DE SOUZA,Female
JÚLIO CÉSAR COELHO DE ROSE,NA
DELMAR ARAÚJO CARDOSO,Male
FERNANDO EDUARDO DE BARROS REY PUENTE,Male
WERNER SPANIOL,Male
JOSÉ ANTONIO DAMÁSIO ABIB,NA
PAULO ROBERTO LICHT DOS SANTOS,Male
JOSÉ EDUARDO MARQUES BAIONI,NA
SILENE TORRES MARQUES,Female
BENTO PRADO DE ALMEIDA FERRAZ NETO,Male
THELMA SILVEIRA MOTA LESSA DA FONSECA,Female
VLADIMIR PINHEIRO SAFATLE,Male
RODRIGO BACELLAR DA COSTA E SILVA,Male
TESSA MOURA LACERDA,Female
RICARDO NASCIMENTO FABBRINI,Male
ALBERTO RIBEIRO GONÇALVES DE BARROS,Male
FERNÃO DE OLIVEIRA SALLES DOS SANTOS CRUZ,NA
CARLOS EDUARDO DE OLIVEIRA,Male
LUÍS FERNANDES DOS SANTOS NASCIMENTO,NA
MARISA DA SILVA LOPES,Female
DÉBORA CRISTINA MORATO PINTO,NA
RICHARD THEISEN SIMANKE,Male
JOÃO DE FERNANDES TEIXEIRA,NA
WOLFGANG LEO MAAR,Male
MARK JULIAN RICHTER CASS,Male
LORENZO MAMMI,Male
OSVALDO FROTA PESSOA JUNIOR,Male
HOMERO SILVEIRA SANTIAGO,Male
ANDRÉA MARIA ALTINO DE CAMPOS LOPARIC,NA
PEDRO PAULO GARRIDO PIMENTA,Male
EDUARDO BRANDAO,Male
ELTON VITORIANO RIBEIRO,Male
EDIL CARVALHO GUEDES FILHO,NA
MAURÍCIO CARDOSO KEINERT,NA
MARCUS SACRINI AYRES FERRAZ,Male
IBRAIM VITOR DE OLIVEIRA,Male
CARLOS ROBERTO DRAWIN,Male
ÁLVARO MENDONÇA PIMENTEL,NA
ULPIANO VAZQUEZ MORO,Male
FLÁVIO AUGUSTO SENRA RIBEIRO,NA
PAULO ROBERTO MARGUTTI PINTO,Male
RAINER CÂMARA PATRIOTA,Male
RODRIGO ANTÔNIO DE PAIVA  DUARTE,Male
PEDRO SÜSSEKIND VIVEIROS DE CASTRO,Male
ALICE MARA SERRA,Female
MARCO HELENO BARRETO,Male
ALEXANDRE GUIMARÃES TADEU DE SOARES,Male
BENTO ITAMAR BORGES,Male
ALCINO EDUARDO BONELLA,Male
MARCIO CHAVES TANNUS,Male
OLÍMPIO JOSÉ PIMENTA NETO,NA
IMACULADA MARIA GUIMARÃES KANGUSSU,Female
ROMERO ALVES FREITAS,Male
RAFAEL CORDEIRO SILVA,Male
JAIRO DIAS CARVALHO,Male
SERTÓRIO DE AMORIM E SILVA NETO,NA
RUBENS GARCIA NUNES SOBRINHO,Male
MARIA SOCORRO RAMOS MILITÃO,Female
LEONARDO FERREIRA ALMADA,Male
LUCIANA DA COSTA DIAS,Female
EMÍLIO CARLOS ROSCOE MACIEL,NA
BRUNO ALMEIDA GUIMARÃES,Male
CÍNTIA VIEIRA DA SILVA,NA
GILSON DE PAULO MOREIRA IANNINI,Male
GUIOMAR MARIA DE GRAMMONT MACHADO DE ARAUJO E SOUZA,Female
HÉLIO LOPES DA SILVA,NA
DOUGLAS GARCIA ALVES JÚNIOR,Male
JOSÉ LUIZ FURTADO,NA
FRANCISCO JAVIER HERRERO BOTÍN,Male
JOÃO AUGUSTO ANCHIETA AMAZONAS MAC DOWELL,NA
CARLOS GUSTAVO GONZALEZ,Male
ANSELMO TADEU FERREIRA,Male
JOSÉ BENEDITO DE ALMEIDA JUNIOR,NA
DENNYS GARCIA XAVIER,Male
ANA MARIA SAID,Female
GEORGIA CRISTINA AMITRANO,Female
JAKOB HANS JOSEF SCHNEIDER,Male
HUMBERTO APARECIDO DE OLIVEIRA GUIDO,Male
SIMEAO DONIZETE SASS,Male
MARCOS CÉSAR SENEDA,Male
TADEU MAZZOLA VERZA,Male
GIORGIA CECCHINATO,Female
ANDRÉ JOFFILY ABATH,NA
MARIA CECILIA DE MIRANDA NOGUEIRA COELHO,Female
PATRICIA MARIA KAVARK LEITE,Female
ERNESTO PERINI FRIZZERA DA MOTA SANTOS,Male
MÍRIAM CAMPOLINA DINIZ PEIXOTO,NA
TELMA DE SOUZA BIRCHAL,Female
MAURO LUIZ ENGELMANN,Male
ABÍLIO AZAMBUJA RODRIGUES FILHO,NA
JACYNTHO JOSÉ LINS BRANDÃO,NA
ROGÉRIO ANTÔNIO LOPES,NA
TÚLIO ROBERTO XAVIER DE AGUIAR,NA
EDUARDO SOARES NEVES SILVA,Male
RODRIGO ANTÔNIO DE PAIVA DUARTE,Male
NEWTON BIGNOTTO DE SOUZA,Male
MARCELO PIMENTA MARQUES,Male
LÍVIA MARA GUIMARÃES,NA
LEONARDO ALVES VIEIRA,Male
JOSÉ RAIMUNDO MAIA NETO,NA
IVAN DOMINGUES,Male
ESTER VAISMAN CHASIN,Female
HELTON MACHADO ADVERSE,Male
VERLAINE FREITAS,Female
VIRGINIA DE ARAUJO FIGUEIREDO,Female
MARIA HELENA LISBOA DA CUNHA,Female
MARLY BULCÃO LASSANCE BRITTO,Female
ANTONIO AUGUSTO PASSOS VIDEIRA,Male
ROSA MARIA DIAS,Female
LUIZ BERNARDO LEITE ARAÚJO,Male
VERA MARIA PORTOCARRERO,Female
MARCO ANTONIO DOS SANTOS CASA NOVA,Male
JAMES BASTOS ARÊAS,Male
MÁRCIA CRISTINA FERREIRA GONÇALVES,NA
KARLA DE ALMEIDA CHEDIAK,Female
RICARDO JOSÉ CORRÊA BARBOSA,Male
LUIZ EDUARDO DE OLIVEIRA BICCA,Male
JOÃO RICARDO CARNEIRO MODERNO,NA
DIRCE ELEONORA NIGRO SOLIS,Female
MARCELO DE ARAÚJO,Male
EDGAR DA ROCHA MARQUES,Male
ANTONIO FREDERICO SATURNINO BRAGA,Male
IVAIR COELHO LISBOA RADEMAKER DE NOGUEIRA ITAGIBA FILHO,Male
ELENA MORAES GARCIA,Female
MARCOS ANDRÉ GLEIZER,Male
DÉBORAH DANOWSKI,NA
KÁTIA RODRIGUES MURICY,NA
PAULO CESAR DUQUE ESTRADA,Male
CARLOS DIÓGENES CÔRTES TOURINHO,Male
GUILHERME LOUIS WYLLIE MEDICI,Male
PAULO SERGIO FAITANIN,Male
LUÍS FELIPE BELLINTANI RIBEIRO,NA
JOSE MARIA ARRUDA DE SOUSA,Male
CELSO MARTINS AZAR FILHO,Male
TEREZA CRISTINA BARRETO CALOMENI,Female
VLADIMIR MENEZES VIEIRA,Male
DIRK GREIMANN,Male
CLÁUDIO OLIVEIRA DA SILVA,NA
BERNARDO BARROS COELHO DE OLIVEIRA,Male
ANDRE JACQUES LOUIS ADRIEN BERTEN,Male
FABIANO DE LEMOS BRITTO,Male
CAMILA RODRIGUES JOURDAN,Female
IZABELA AQUINO BOCAYÚVA,Female
LUIZ CARLOS PINHEIRO DIAS PEREIRA,Male
NOELI RAMME,Female
NOEL STRUCHINER,Male
FELIPE SUSSEKIND VIVEIROS DE CASTRO,Male
EDGAR DE BRITO LYRA NETTO,Male
LUDOVIC SOUTIF,Male
IRLEY FERNANDES FRANCO,NA
EDUARDO JARDIM DE MORAES,Male
MAURA IGLÉSIAS,Female
ALICE BITENCOURT HADDAD,Female
OSWALDO CHATEAUBRIAND FILHO,Male
LUIZ CAMILLO DOLABELLA PORTELLA OSORIO DE ALMEIDA,Male
EDGARD JOSÉ JORGE FILHO,Male
DANILO MARCONDES DE SOUZA FILHO,Male
VERA CRISTINA GONCALVES DE ANDRADE BUENO,Female
PATRICK ESTELLITA CAVALCANTI PESSOA,Male
MARCUS REIS PINHEIRO,Male
