NM_DOCENTE,GENERO
Ana Maria Portich,Mulher
Matteo Raschietti,Homem
Daniel Gerardo Campos,Homem
Nuria Sanchez Madrid,Mulher
Thana Mara De Souza,Mulher
Lauro Frederico Barbosa Da Silveira,Homem
Carmen Beatriz Milidoni,Mulher
Willem Ferdinand Gerardus Haselager,Homem
Andrey Ivanov,Homem
Reinaldo Sampaio Pereira,Homem
Márcio Benchimol Barros,Homem
Marcelo Esteban Coniglio,Homem
Itala Maria Loffredo D Ottaviano,Mulher
Walter Alexandre Carnielli,Homem
José Oscar De Almeida Marques,Homem
Eneias Junior Forlin,Homem
Roberto Romano Da Silva,Homem
Oswaldo Giacoia Junior,Homem
Osmyr Faria Gabbi Junior,Homem
Marcos Severino Nobre,Homem
Marcos Lutz Müller,Homem
Jose Carlos Pinto De Oliveira,Homem
Fatima Regina Rodrigues Evora,Mulher
Arley Ramos Moreno,Homem
Alcides Hector Rodriguez Benoit,Homem
Luiz Benedicto Lacerda Orlandi,Homem
Yara Adario Frateschi,Mulher
Lucas Angioni,Homem
Silvio Seno Chibeni,Homem
Jairo José Da Silva,Homem
Luiz Roberto Monzani,Homem
Fausto Castilho,Homem
João Carlos Kfouri Quartim De Moraes,Homem
Márcio Augusto Damin Custódio,Homem
Luiz Henrique Lopes Dos Santos,Homem
Léon Kossovitch,Homem
Moacyr Ayres Novaes Filho,Homem
Celso Fernando Favaretto,Homem
Sérgio Cardoso,Homem
Roberto Bolzani Filho,Homem
Ricardo Ribeiro Terra,Homem
Pablo Rubén Mariconda,Homem
Milton Meira Do Nascimento,Homem
Maria Lúcia Mello E Oliveira Cacciola,Mulher
Marco Antonio De Avila Zingano,Homem
Maurício De Carvalho Ramos,Homem
Luís César Guimarães Oliva,Homem
Marco Aurélio Werle,Homem
Victor Knoll,Homem
Mário Miranda Filho,Homem
Márcio Suzuki,Homem
Luiz Fernando Batista Franklin De Matos,Homem
João Vergílio Gallerani Cuter,Homem
José Carlos Estevão,Homem
Scarlett Zerbetto Marton,Mulher
Rolf Nelson Kuntz,Homem
Renato Janine Ribeiro,Homem
Paulo Eduardo Arantes,Homem
Carlos Eduardo Silveira Matos,Homem
Marilena De Souza Chaui,Mulher
Lygia Araujo Watanabe,Mulher
Ruy Fausto,Homem
José Arthur Giannotti,Homem
Otília Beatriz Fiori Arantes,Homem
Jose Raymundo Novaes Chiappin,Homem
Carlos Alberto Ribeiro De Moura,Homem
Caetano Ernesto Plastino,Homem
Maria Das Graças De Souza,Mulher
Júlio César Coelho De Rose,Homem
Delmar Araújo Cardoso,Homem
Fernando Eduardo De Barros Rey Puente,Homem
Werner Spaniol,Homem
José Antonio Damásio Abib,Homem
Paulo Roberto Licht Dos Santos,Homem
José Eduardo Marques Baioni,Homem
Silene Torres Marques,Mulher
Bento Prado De Almeida Ferraz Neto,Homem
Thelma Silveira Mota Lessa Da Fonseca,Mulher
Vladimir Pinheiro Safatle,Homem
Rodrigo Bacellar Da Costa E Silva,Homem
Tessa Moura Lacerda,Mulher
Ricardo Nascimento Fabbrini,Homem
Alberto Ribeiro Gonçalves De Barros,Homem
Fernão De Oliveira Salles Dos Santos Cruz,Homem
Carlos Eduardo De Oliveira,Homem
Luís Fernandes Dos Santos Nascimento,Homem
Marisa Da Silva Lopes,Mulher
Débora Cristina Morato Pinto,Mulher
Richard Theisen Simanke,Homem
João De Fernandes Teixeira,Homem
Wolfgang Leo Maar,Homem
Mark Julian Richter Cass,Homem
Lorenzo Mammi,Homem
Osvaldo Frota Pessoa Junior,Homem
Homero Silveira Santiago,Homem
Andréa Maria Altino De Campos Loparic,Mulher
Pedro Paulo Garrido Pimenta,Homem
Eduardo Brandao,Homem
Elton Vitoriano Ribeiro,Homem
Edil Carvalho Guedes Filho,Homem
Maurício Cardoso Keinert,Homem
Marcus Sacrini Ayres Ferraz,Homem
Ibraim Vitor De Oliveira,Homem
Carlos Roberto Drawin,Homem
Álvaro Mendonça Pimentel,Homem
Ulpiano Vazquez Moro,Homem
Flávio Augusto Senra Ribeiro,Homem
Paulo Roberto Margutti Pinto,Homem
Rainer Câmara Patriota,Homem
Rodrigo Antônio De Paiva  Duarte,Homem
Pedro Süssekind Viveiros De Castro,Homem
Alice Mara Serra,Mulher
Marco Heleno Barreto,Homem
Alexandre Guimarães Tadeu De Soares,Homem
Bento Itamar Borges,Homem
Alcino Eduardo Bonella,Homem
Marcio Chaves Tannus,Homem
Olímpio José Pimenta Neto,Homem
Imaculada Maria Guimarães Kangussu,Mulher
Romero Alves Freitas,Homem
Rafael Cordeiro Silva,Homem
Jairo Dias Carvalho,Homem
Sertório De Amorim E Silva Neto,Homem
Rubens Garcia Nunes Sobrinho,Homem
Maria Socorro Ramos Militão,Mulher
Leonardo Ferreira Almada,Homem
Luciana Da Costa Dias,Mulher
Emílio Carlos Roscoe Maciel,Homem
Bruno Almeida Guimarães,Homem
Cíntia Vieira Da Silva,Mulher
Gilson De Paulo Moreira Iannini,Homem
Guiomar Maria De Grammont Machado De Araujo E Souza,Mulher
Hélio Lopes Da Silva,Homem
Douglas Garcia Alves Júnior,Homem
José Luiz Furtado,Homem
Francisco Javier Herrero Botín,Homem
João Augusto Anchieta Amazonas Mac Dowell,Homem
Carlos Gustavo Gonzalez,Homem
Anselmo Tadeu Ferreira,Homem
José Benedito De Almeida Junior,Homem
Dennys Garcia Xavier,Homem
Ana Maria Said,Mulher
Georgia Cristina Amitrano,Mulher
Jakob Hans Josef Schneider,Homem
Humberto Aparecido De Oliveira Guido,Homem
Simeao Donizete Sass,Homem
Marcos César Seneda,Homem
Tadeu Mazzola Verza,Homem
Giorgia Cecchinato,Mulher
André Joffily Abath,Homem
Maria Cecilia De Miranda Nogueira Coelho,Mulher
Patricia Maria Kavark Leite,Mulher
Ernesto Perini Frizzera Da Mota Santos,Homem
Míriam Campolina Diniz Peixoto,Mulher
Telma De Souza Birchal,Mulher
Mauro Luiz Engelmann,Homem
Abílio Azambuja Rodrigues Filho,Homem
Jacyntho José Lins Brandão,Homem
Rogério Antônio Lopes,Homem
Túlio Roberto Xavier De Aguiar,Homem
Eduardo Soares Neves Silva,Homem
Rodrigo Antônio De Paiva Duarte,Homem
Newton Bignotto De Souza,Homem
Marcelo Pimenta Marques,Homem
Lívia Mara Guimarães,Mulher
Leonardo Alves Vieira,Homem
José Raimundo Maia Neto,Homem
Ivan Domingues,Homem
Ester Vaisman Chasin,Mulher
Helton Machado Adverse,Homem
Verlaine Freitas,Mulher
Virginia De Araujo Figueiredo,Mulher
Maria Helena Lisboa Da Cunha,Mulher
Marly Bulcão Lassance Britto,Mulher
Antonio Augusto Passos Videira,Homem
Rosa Maria Dias,Mulher
Luiz Bernardo Leite Araújo,Homem
Vera Maria Portocarrero,Mulher
Marco Antonio Dos Santos Casa Nova,Homem
James Bastos Arêas,Homem
Márcia Cristina Ferreira Gonçalves,Mulher
Karla De Almeida Chediak,Mulher
Ricardo José Corrêa Barbosa,Homem
Luiz Eduardo De Oliveira Bicca,Homem
João Ricardo Carneiro Moderno,Homem
Dirce Eleonora Nigro Solis,Mulher
Marcelo De Araújo,Homem
Edgar Da Rocha Marques,Homem
Antonio Frederico Saturnino Braga,Homem
Ivair Coelho Lisboa Rademaker De Nogueira Itagiba Filho,Homem
Elena Moraes Garcia,Mulher
Marcos André Gleizer,Homem
Déborah Danowski,Mulher
Kátia Rodrigues Muricy,Mulher
Paulo Cesar Duque Estrada,Homem
Carlos Diógenes Côrtes Tourinho,Homem
Guilherme Louis Wyllie Medici,Homem
Paulo Sergio Faitanin,Homem
Luís Felipe Bellintani Ribeiro,Homem
Jose Maria Arruda De Sousa,Homem
Celso Martins Azar Filho,Homem
Tereza Cristina Barreto Calomeni,Mulher
Vladimir Menezes Vieira,Homem
Dirk Greimann,Homem
Cláudio Oliveira Da Silva,Homem
Bernardo Barros Coelho De Oliveira,Homem
Andre Jacques Louis Adrien Berten,Homem
Fabiano De Lemos Britto,Homem
Camila Rodrigues Jourdan,Mulher
Izabela Aquino Bocayúva,Mulher
Luiz Carlos Pinheiro Dias Pereira,Homem
Noeli Ramme,Mulher
Noel Struchiner,Homem
Felipe Sussekind Viveiros De Castro,Homem
Edgar De Brito Lyra Netto,Homem
Ludovic Soutif,Homem
Irley Fernandes Franco,Homem
Eduardo Jardim De Moraes,Homem
Maura Iglésias,Mulher
Alice Bitencourt Haddad,Mulher
Oswaldo Chateaubriand Filho,Homem
Luiz Camillo Dolabella Portella Osorio De Almeida,Homem
Edgard José Jorge Filho,Homem
Danilo Marcondes De Souza Filho,Homem
Vera Cristina Goncalves De Andrade Bueno,Mulher
Patrick Estellita Cavalcanti Pessoa,Homem
Marcus Reis Pinheiro,Homem
Dag Prawitz,Homem
Márcia Sá Cavalcante Schuback,Mulher
Fernando Décio Porto Muniz,Homem
Guido Imaguire,Homem
Carolina De Melo Bomfim Araujo,Mulher
Rodrigo Guerizoli Teixeira,Homem
Pedro Costa Rego,Homem
Marina Isabel Velasco,Mulher
Ulysses Pinheiro,Homem
Roberto Horacio De Sa Pereira,Homem
Ethel Menezes Rocha,Mulher
Maria Das Gracas De Moraes Augusto,Mulher
Alberto Oliva,Homem
Marco Antonio Caron Ruffino,Homem
Guido Antonio De Almeida,Homem
Raul Ferreira Landim Filho,Homem
Rafael Haddock Lobo,Homem
Marcelo Martins Barreira,Homem
José Pedro Luchi,Homem
Edebrande Cavalieri,Homem
Fernando Mendes Pessoa,Homem
Ricardo Luiz Silveira Da Costa,Homem
Jorge Augusto Da Silva Santos,Homem
Cláudia Pereira Do Carmo Murta,Homem
Roberto Cabral De Melo Machado,Homem
Franklin Trein,Homem
Aquiles Cortes Guimaraes,Homem
Henrique Fortuna Cairus,Homem
Jean Yves Beziau,Homem
Susana De Castro Amaral Vieira,Mulher
Adriany Ferreira De Mendonca,Mulher
Carla Costa Pinto Francalanci,Mulher
Andre Martins Vilar De Carvalho,Homem
Fernando Antonio Soares Fragozo,Homem
Fernando Augusto Da Rocha Rodrigues,Homem
Michael Alain Soubbotnik,Homem
Fabio Di Clemente,Homem
Antônio Vidal Nunes,Homem
Ricardo Corrêa De Araujo,Homem
Arthur Octávio De Melo Araújo,Homem
Filipe Ceppas De Carvalho E Faria,Homem
Luiz Alberto Cerqueira Batista,Homem
Ricardo Jardim Andrade,Homem
Fernando Jose De Santoro Moreira,Homem
Guilherme Castelo Branco,Homem
Gilvan Luiz Fogel,Homem
Wilson John Pessoa Mendonca,Homem
Maria Clara Marques Dias,Mulher
Aldo Lopes Dinucci,Homem
Antonio Carlos Dos Santos,Homem
Edmilson Menezes Santos,Homem
Elyana Barbosa,Mulher
Juliana Ortegosa Aggio,Mulher
Rafael Lopes Azize,Homem
Jarlee Oliveira Silva Salviano,Homem
Abel Lassalle Casanave,Homem
Carlota Maria Ibertis De Lassalle Casanave,Mulher
Rosa Gabriella De Castro Gonçalves,Mulher
José Lourenço Araújo Leite,Homem
Genildo Ferreira Da Silva,Homem
Daniel Tourinho Peres,Homem
Wilson Da Silva Gomes,Homem
Sílvia Faustino De Assis Saes,Homem
Waldomiro José Da Silva Filho,Homem
Olival Freire Junior,Homem
Nancy Mangabeira Unger,Mulher
Adilson Alciomar Koslowski,Homem
Monclar Eduardo Góes De Lima Valverde,Homem
Mauro Castelo Branco De Moura,Homem
José Crisóstomo De Souza,Homem
Edvaldo Souza Couto,Homem
Acylene Maria Cabral Ferreira,Mulher
João Carlos Salles Pires Da Silva,Homem
Sonia Barreto Freire,Mulher
Marcos Ribeiro Balieiro,Homem
Sergio Hugo Menna,Homem
Antonio Jose Pereira Filho,Homem
Everaldo Vanderlei De Oliveira,Homem
Oliver Tolle,Homem
Constanca Terezinha Marcondes Cesar,Mulher
Evaldo Becker,Homem
Romero Junior Venancio Silva,Homem
Cicero Cunha Bezerra,Homem
Rodrigo Jungmann De Castro,Homem
Marco Aurelio Oliveira Da Silva,Homem
Vincenzo Di Matteo,Homem
Junot Cornélio Matos,Homem
Juan Adolfo Bonaccini,Homem
Luiz Vicente Vieira,Homem
Marcelo Luiz Pelizzoli,Homem
Richard Romeiro Oliveira,Homem
Marcos Roberto Nunes Costa,Homem
Thiago André Moura De Aquino,Homem
Sandro Márcio Moura De Sena,Homem
Anastácio Borges De Araújo Júnior,Homem
Sandro Cozza Sayão,Homem
Érico Andrade Marques De Oliveira,Homem
Alfredo De Oliveira Moraes,Homem
Washington Luiz Martins Da Silva,Homem
Tarik De Athayde Prata,Homem
Fernando Raul De Assis Neto,Homem
Jesus Vázquez Torres,Homem
Giovanni Da Silva De Queiroz,Homem
Fernando Jader De Magalhães Melo,Homem
Witold Skwara,Homem
Matias Francisco Dias,Homem
Andre Joffily Abath,Homem
Ricardo Sousa Silvestre,Homem
Anderson D'arc Ferreira,Homem
Edrisi De Araujo Fernandes,Homem
Rodrigo Ribeiro Alves Neto,Homem
Sergio Luis Persch,Homem
André Leclerc,Homem
Giuseppe Tosi,Homem
Glenn Walter Erickson,Homem
Claudio Ferreira Costa,Homem
José Gabriel Trindade Santos,Homem
Marconi José Pimentel Pequeno,Homem
Antonio Rufino Vieira,Homem
Edmilson Alves De Azevedo,Homem
Iraquitan De Oliveira Caminha,Homem
Oscar Federico Bauchwitz,Homem
Deyve Redyson Melo Dos Santos,Homem
Bartolomeu Leite Da Silva,Homem
Abrahão Costa Andrade,Homem
Narbal De Marsillac Fontes,Homem
José Eduardo De Almeida Moura,Homem
Maria Cristina Longo Cardoso Dias,Mulher
Robson Costa Cordeiro,Homem
Cinara Maria Leite Nahra,Mulher
Markus Figueira Da Silva,Homem
Jesus Vazquez Torres,Homem
Paulo Tarso Cabral De Medeiros,Homem
Miguel Antonio Do Nascimento,Homem
Gisele Amaral Dos Santos,Mulher
Cícero Cunha Bezerra,Homem
Ana Thereza De Miranda Cordeiro Dürmaier,Mulher
Ana Lêda De Araújo,Mulher
Candida Jaci De Sousa Melo,Mulher
Bruno Rafaelo Lopes Vaz,Homem
Sergio Luis Rizzo Dela Savia,Homem
Eduardo Anibal Pellejero,Homem
Joao Marcos De Almeida,Homem
Daniel Arruda Nascimento,Homem
Monalisa Carrilho De Macedo,Mulher
Maria Da Paz Nunes De Medeiros,Mulher
Fernanda Machado De Bulhoes,Mulher
Daniel Durante Pereira Alves,Homem
Antonio Vieira Da Silva Filho,Homem
José Rômulo Soares,Homem
Ruy De Carvalho Rodrigues Junior,Homem
Antonio Glaudenir Brasil Maia,Homem
Luis Alexandre Dias Do Carmo,Homem
Ilana Viana Do Amaral,Mulher
José Expedito Passos Lima,Homem
Francisco José Soares Teixeira,Homem
Alessandro Rodrigues Pimenta,Homem
Luizir De Oliveira,Homem
Aldir Araújo Carvalho Filho,Homem
Zoraida Maria Lopes Feitosa,Mulher
João Emiliano Fortaleza De Aquino,Homem
Emanuel Angelo Da Rocha Fragoso,Homem
Regenaldo Rodrigues Da Costa,Homem
Maria Terezinha De Castro Callado,Mulher
Jan Gerard Joseph Ter Reegen,Homem
Eduardo Jorge Oliveira Triandopolis,Homem
Marly Carvalho Soares,Mulher
Helder Buenos Aires De Carvalho,Homem
Emerson Carlos Valcarenghi,Homem
Custódio Luis Silva De Almeida,Homem
Odílio Alves Aguiar,Homem
Ivanhoé Albuquerque Leal,Homem
Alípio De Sousa Filho,Homem
Átila Amaral Brilhante,Homem
Marcel Franz Otto Niquet,Homem
Andrea Vestrucci,Mulher
Luiz Felipe Netto De Andrade E Silva Sahd,Homem
Fernando Ribeiro De Moraes Barros,Homem
José Carlos Silva De Almeida,Homem
Evanildo Costeski,Homem
Konrad Christoph Utz,Homem
Dilmar Santos De Miranda,Homem
Eduardo Ferreira Chagas,Homem
Kleber Carneiro Amora,Homem
Jovelina Maria Ramos De Souza,Mulher
Nelson José De Souza Junior,Homem
Mauricio Rodrigues De Souza,Homem
Maria Aparecida De Paiva Montenegro,Mulher
